epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2
1,79.14829,18.1494,24.908,35.5579,-3.0584,0.2196,0.1301,0.0858,30.17343,8.2834,9.9081,16.8578,0.3473,0.3009,0.1732,0.1212
2,36.20198,9.4578,12.0606,20.0659,0.0485,0.3406,0.205,0.1356,21.08217,6.3322,8.0153,13.9094,0.5729,0.4589,0.2532,0.1926
3,34.45742,9.0976,11.4538,19.3519,0.1418,0.3379,0.2128,0.137,25.48136,7.2378,8.9694,13.9113,0.4651,0.3939,0.2554,0.171
4,31.0547,8.4134,10.6029,17.1527,0.2646,0.3671,0.2119,0.1384,22.10293,6.5686,8.0835,12.7792,0.5656,0.4481,0.2468,0.1797
5,29.55689,8.074,10.2891,16.5471,0.3075,0.389,0.242,0.1598,22.15866,6.6027,8.0029,12.8219,0.5742,0.4242,0.2381,0.1537
6,28.01911,7.754,9.7999,15.5923,0.3718,0.389,0.2447,0.1703,22.31978,6.5549,8.4308,12.8384,0.5274,0.4697,0.3074,0.2035
7,26.47168,7.4375,9.5303,14.8073,0.4059,0.4215,0.2562,0.1717,17.78601,5.5731,7.3516,12.2446,0.6407,0.5519,0.3745,0.2165
8,24.84284,7.0744,9.0628,14.2787,0.4627,0.4388,0.2763,0.1927,24.96739,7.1962,8.644,13.5279,0.5032,0.355,0.2143,0.1429
9,25.0279,7.1518,9.044,14.4617,0.4649,0.4279,0.263,0.1699,15.7922,5.0466,6.9354,11.112,0.6802,0.5952,0.4286,0.3117
10,22.88565,6.6817,8.4661,13.3733,0.5311,0.4466,0.2849,0.1927,20.0779,5.9631,8.1289,13.6505,0.5607,0.5303,0.3593,0.2662
11,22.52128,6.6062,8.3599,12.8333,0.5428,0.4694,0.2831,0.195,17.83699,5.6072,7.1507,11.5669,0.66,0.5281,0.3074,0.2316
12,22.10681,6.5568,8.1874,12.8099,0.5615,0.4543,0.2685,0.1685,16.41716,5.2946,6.9654,11.3552,0.6774,0.5606,0.3636,0.2381
13,20.85201,6.2547,7.9349,12.1129,0.5881,0.4872,0.2968,0.2,18.64295,5.8234,7.3758,11.4713,0.6383,0.5173,0.3139,0.1948
14,21.05399,6.3003,8.0138,12.4106,0.5799,0.4849,0.3032,0.205,22.99366,6.7195,8.4956,13.1958,0.5201,0.4437,0.2835,0.1883
15,20.30077,6.1288,7.7519,11.8774,0.6069,0.5009,0.3064,0.2082,16.87737,5.356,6.9476,11.1738,0.6791,0.5649,0.368,0.2316
16,19.5555,5.9566,7.6056,11.3167,0.6216,0.5073,0.3283,0.2205,19.5011,6.0028,7.5374,11.8882,0.6223,0.4827,0.3074,0.1775
17,18.46804,5.7343,7.2767,11.1243,0.6536,0.5251,0.3279,0.2192,21.62492,6.4808,7.8358,12.3606,0.5918,0.3853,0.2338,0.1602
18,16.59825,5.3211,6.7904,10.1393,0.6984,0.5557,0.3603,0.2434,15.76528,5.0539,6.9702,11.2345,0.677,0.6385,0.4156,0.2944
19,16.88942,5.386,6.8449,10.2676,0.6935,0.5543,0.3566,0.2457,19.80718,6.0479,7.7107,11.6487,0.6047,0.4719,0.2922,0.2035
20,16.14613,5.2153,6.6202,9.8045,0.7133,0.5648,0.3685,0.2475,15.32574,5.0322,6.7125,10.5693,0.7004,0.6169,0.3918,0.2446
21,17.22754,5.4807,6.889,10.3493,0.6896,0.5356,0.3365,0.2242,15.03669,4.8983,6.7043,10.8119,0.7012,0.6342,0.4177,0.3052
22,15.72783,5.124,6.5171,9.5968,0.7222,0.5712,0.3763,0.2516,15.63221,5.0218,6.8073,11.0196,0.6919,0.6169,0.4177,0.29
23,15.57338,5.1052,6.4173,9.6357,0.7306,0.5712,0.3653,0.2452,15.80761,5.1314,6.7881,10.6894,0.6936,0.6061,0.3636,0.2641
24,15.80178,5.1688,6.5187,9.6966,0.722,0.5749,0.3571,0.2475,20.21465,6.1697,7.6516,11.9337,0.6107,0.4632,0.2706,0.197
25,15.6784,5.1187,6.5229,9.5978,0.7217,0.5744,0.3772,0.2521,15.88356,5.145,6.9156,10.8049,0.682,0.6169,0.3874,0.2554
26,14.69697,4.897,6.2052,9.1398,0.7481,0.5922,0.3863,0.2671,18.67986,5.8184,7.3165,11.3991,0.6441,0.4913,0.3074,0.21
27,15.41747,5.0658,6.3954,9.4653,0.7324,0.5758,0.3758,0.253,24.33498,7.0719,8.5298,13.1579,0.5163,0.381,0.1991,0.1364
28,15.13322,4.989,6.3193,9.2856,0.7388,0.5822,0.3822,0.2594,16.85089,5.4073,6.9723,10.8282,0.6768,0.5584,0.329,0.2165
29,14.31637,4.8174,6.1242,8.9163,0.7547,0.6014,0.3881,0.2721,19.52914,6.0268,7.5234,11.6275,0.6237,0.4632,0.2814,0.1905
30,14.46099,4.8405,6.0846,8.9585,0.7578,0.5731,0.3795,0.263,21.8397,6.5426,7.9478,12.3562,0.58,0.4048,0.2424,0.1472
31,14.12222,4.781,6.0508,8.8631,0.7605,0.6073,0.3881,0.2658,16.85006,5.4131,7.0211,10.7026,0.6722,0.5693,0.3355,0.2186
32,13.71564,4.6803,5.9521,8.6778,0.7682,0.6187,0.4037,0.2763,17.73735,5.6119,7.1116,11.1737,0.6638,0.5152,0.3139,0.2143
33,13.79798,4.6955,5.9498,8.7069,0.7684,0.6128,0.4018,0.2703,15.08855,4.9473,6.6078,10.5764,0.7097,0.619,0.3983,0.2749
34,13.89602,4.7193,6.0484,8.7141,0.7607,0.6228,0.4005,0.2753,17.79035,5.6036,7.1247,11.2659,0.6625,0.5216,0.3095,0.2143
35,13.5464,4.6149,5.9291,8.4321,0.77,0.6096,0.411,0.2909,15.64111,5.0927,6.6926,10.4979,0.7022,0.6061,0.3658,0.2641
36,12.94077,4.4972,5.7369,8.3424,0.7847,0.6365,0.4228,0.2858,17.68744,5.5775,7.0858,11.0346,0.6662,0.513,0.3225,0.2229
37,13.45382,4.6156,5.8725,8.4481,0.7744,0.6068,0.4137,0.2804,15.43667,5.039,6.6457,10.3322,0.7064,0.5887,0.4026,0.2597
38,12.83218,4.4713,5.6761,8.1666,0.7892,0.6315,0.4251,0.2945,15.49286,5.0379,6.652,10.45,0.7058,0.5996,0.3853,0.2597
39,12.57473,4.4179,5.6171,8.0821,0.7936,0.642,0.421,0.2932,15.24055,4.991,6.6388,10.575,0.707,0.6342,0.3874,0.2489
40,12.66407,4.4278,5.6688,8.1543,0.7898,0.6411,0.4283,0.2973,16.76163,5.3535,6.9184,10.822,0.6818,0.5541,0.3485,0.2489
41,12.20464,4.3343,5.5232,7.9581,0.8004,0.6511,0.4379,0.3005,15.45745,5.0495,6.6876,10.6485,0.7027,0.6039,0.381,0.2511
42,12.42344,4.386,5.5524,8.083,0.7983,0.6374,0.4247,0.2941,16.30759,5.2846,6.7909,10.7662,0.6934,0.5714,0.3312,0.2338
43,12.14931,4.3329,5.4989,7.9506,0.8022,0.6507,0.4356,0.2941,15.132,4.9866,6.579,10.5091,0.7122,0.6147,0.4004,0.2554
44,12.28081,4.3521,5.5455,7.9504,0.7988,0.6484,0.4192,0.3,15.47343,5.0976,6.6307,10.5548,0.7077,0.5714,0.3615,0.2229
45,12.52123,4.3919,5.6171,7.9527,0.7936,0.6425,0.4324,0.3032,15.37439,5.0427,6.6607,10.7201,0.705,0.6212,0.381,0.2381
46,12.3118,4.3521,5.5407,7.952,0.7992,0.647,0.4338,0.3037,17.64594,5.5944,7.0671,11.1347,0.6679,0.5216,0.316,0.2143
47,12.47377,4.4071,5.5887,8.0156,0.7957,0.6397,0.4228,0.2845,15.54054,5.0802,6.6699,10.473,0.7042,0.5823,0.3788,0.2489
48,12.4833,4.4056,5.6353,8.0149,0.7923,0.6489,0.4342,0.289,15.13922,4.9904,6.5851,10.3483,0.7117,0.5996,0.3853,0.2532
49,12.2824,4.3603,5.5646,7.9566,0.7974,0.6548,0.4196,0.2863,16.9753,5.4444,6.9318,10.9469,0.6805,0.5325,0.329,0.2143
50,12.30898,4.34,5.5542,7.875,0.7982,0.6543,0.4397,0.3073,15.28718,5.0215,6.6349,10.477,0.7073,0.6017,0.3896,0.2576
51,11.99371,4.2645,5.5137,7.7058,0.8011,0.6662,0.4507,0.3205,15.75259,5.1388,6.7258,10.644,0.6992,0.5823,0.3593,0.2403
52,12.18522,4.3407,5.5074,7.9021,0.8016,0.6548,0.4237,0.2909,15.8277,5.1613,6.7216,10.6354,0.6996,0.5649,0.3593,0.2381
53,12.08034,4.2838,5.4934,7.8019,0.8026,0.6548,0.4461,0.3183,15.93892,5.1833,6.7603,10.6406,0.6961,0.5671,0.368,0.2424
54,12.14058,4.3129,5.5215,7.8536,0.8006,0.6562,0.4338,0.3,16.02,5.1915,6.7821,10.6335,0.6942,0.5693,0.3723,0.2446
55,11.88101,4.2648,5.4291,7.7668,0.8072,0.6589,0.4461,0.3005,15.7912,5.1377,6.7436,10.6286,0.6976,0.5866,0.3658,0.2532
56,12.28336,4.3581,5.5379,7.9215,0.7994,0.6484,0.4256,0.2927,15.56076,5.0866,6.6965,10.5007,0.7019,0.5909,0.3896,0.2489
57,12.0678,4.2997,5.501,7.8218,0.802,0.6607,0.4429,0.3023,15.93759,5.1791,6.7504,10.5894,0.697,0.5628,0.3766,0.2446
58,12.36246,4.3525,5.5877,7.9287,0.7958,0.6511,0.426,0.3041,15.79535,5.1403,6.7207,10.5682,0.6997,0.5714,0.3745,0.2424
59,12.03656,4.2966,5.4431,7.8311,0.8062,0.6452,0.4288,0.2977,16.53932,5.3281,6.8539,10.8547,0.6877,0.5433,0.3463,0.2381
60,12.16608,4.3228,5.5035,7.8955,0.8019,0.6502,0.4384,0.2977,16.22451,5.2471,6.7924,10.7128,0.6933,0.5476,0.3615,0.2446
