epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2,lr
1,109.39008,24.2673,30.232,47.1258,-4.9788,0.1361,0.0849,0.0575,88.57251,20.1034,31.6934,37.4396,-5.6783,0.1558,0.1017,0.0693,3.00e-04
2,57.37287,13.7854,17.2322,29.5546,-0.9425,0.2196,0.137,0.0881,64.47354,15.272,24.5357,29.0729,-3.0024,0.1775,0.1082,0.0563,3.00e-04
3,51.81867,12.6752,16.0069,27.6821,-0.6761,0.2315,0.132,0.0918,126.54328,27.5927,106.3467,51.2113,-74.1927,0.29,0.1926,0.1385,3.00e-04
4,47.10564,11.6938,14.9013,25.8064,-0.4525,0.2685,0.1584,0.1091,117.49617,25.846,90.2717,47.8149,-53.179,0.2468,0.1515,0.1061,3.00e-04
5,45.97437,11.4603,14.5922,25.6181,-0.3929,0.2804,0.1662,0.1151,72.40788,16.7242,55.9436,33.6356,-19.8079,0.3312,0.2035,0.1364,3.00e-04
6,46.57989,11.5756,14.7807,25.7415,-0.4291,0.274,0.1689,0.1187,117.25165,25.7358,99.9101,48.5977,-65.366,0.3009,0.2056,0.1255,3.00e-04
7,44.56887,11.1775,14.2383,25.0423,-0.3261,0.2735,0.1689,0.1146,59.83648,14.2364,30.9942,28.1628,-5.3869,0.2835,0.1732,0.119,3.00e-04
8,44.36199,11.1465,14.1354,24.927,-0.3071,0.2776,0.1589,0.1082,51.51814,12.5686,29.9355,26.1047,-4.958,0.2792,0.184,0.1126,3.00e-04
9,43.91562,11.0265,14.029,24.8866,-0.2875,0.2922,0.1817,0.1215,53.3625,12.8551,40.1337,27.9242,-9.7089,0.3831,0.2359,0.1558,3.00e-04
10,41.63316,10.5744,13.4476,23.5779,-0.183,0.3073,0.1749,0.1215,115.95605,25.4225,114.1533,49.2237,-85.6372,0.3355,0.2165,0.1623,3.00e-04
11,40.69168,10.3807,13.2883,23.3587,-0.1551,0.3146,0.1886,0.1233,117.92227,25.8765,104.6608,49.0341,-71.8274,0.3333,0.1818,0.1364,3.00e-04
12,39.30682,10.0961,12.8879,22.4538,-0.0865,0.3256,0.1977,0.1311,91.33463,20.4793,97.2991,41.7952,-61.9426,0.3701,0.2424,0.1429,3.00e-04
13,41.62929,10.5707,13.4358,23.5155,-0.1809,0.3027,0.1836,0.1224,85.82604,19.3934,85.8894,39.721,-48.0463,0.3571,0.2208,0.1558,3.00e-04
