epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2,lr
1,52.95056,12.8596,17.1204,27.4335,-0.9174,0.2626,0.1685,0.1146,37.1862,9.7739,11.3974,20.7473,0.1363,0.2013,0.1169,0.0714,3.00e-04
2,38.77404,9.9919,12.6209,21.2999,-0.042,0.3078,0.1927,0.1256,19.77986,5.9141,8.0008,13.6031,0.5744,0.5628,0.3723,0.2662,3.00e-04
3,37.67053,9.7415,12.4357,20.2736,-0.0116,0.3315,0.2018,0.132,19.1159,5.7942,7.7843,11.7715,0.5971,0.5758,0.3658,0.2489,3.00e-04
4,36.11799,9.431,11.934,19.5624,0.0684,0.3288,0.2055,0.1397,23.60685,6.9097,8.4386,14.3884,0.5266,0.4048,0.2359,0.1537,3.00e-04
5,33.44016,8.8853,11.3478,18.1069,0.1576,0.3667,0.221,0.1425,22.84003,6.5836,9.0774,13.0952,0.4522,0.5303,0.3398,0.2424,3.00e-04
6,33.1236,8.7999,11.2781,18.2471,0.1679,0.3708,0.2406,0.1562,22.55753,6.5941,8.5424,13.8878,0.5148,0.4784,0.2835,0.1991,3.00e-04
7,30.90755,8.3567,10.6104,17.0198,0.2635,0.3776,0.237,0.1502,15.80411,5.1,6.8826,10.723,0.6851,0.6299,0.4026,0.2684,3.00e-04
8,30.74052,8.3353,10.6518,16.7801,0.2578,0.3795,0.2311,0.1521,24.94945,7.1389,9.1071,15.4376,0.4486,0.4091,0.2446,0.158,3.00e-04
9,29.5951,8.0748,10.2878,16.1507,0.3076,0.3909,0.2466,0.1621,21.41665,6.4293,8.0781,12.1017,0.5661,0.4481,0.2532,0.1818,3.00e-04
10,29.10428,7.9969,10.0316,15.7136,0.3417,0.3767,0.2374,0.1621,21.33981,6.3808,7.8759,12.4813,0.5876,0.4329,0.2771,0.1883,3.00e-04
11,28.64912,7.8916,10.0233,15.3924,0.3428,0.3959,0.2379,0.1699,15.38997,4.9972,6.7668,10.7402,0.6956,0.619,0.4242,0.2879,3.00e-04
12,27.69221,7.6954,9.7313,15.1507,0.3805,0.3986,0.2461,0.1694,18.88745,5.8991,7.3015,11.5048,0.6456,0.4697,0.29,0.1948,3.00e-04
13,28.22943,7.8239,9.8766,15.3095,0.3619,0.3977,0.2429,0.1584,18.09099,5.5545,7.5819,13.0047,0.6178,0.5931,0.3983,0.2792,3.00e-04
14,26.54794,7.4402,9.4835,14.6964,0.4117,0.416,0.2644,0.1881,16.39375,5.2638,6.8669,10.7257,0.6865,0.5779,0.3658,0.2489,3.00e-04
15,26.36858,7.3992,9.4447,14.2652,0.4165,0.426,0.2813,0.1763,16.22048,5.2117,6.9134,10.9738,0.6822,0.6061,0.3983,0.2532,3.00e-04
16,24.52031,7.0442,8.8662,13.6484,0.4858,0.4233,0.2667,0.1795,16.17004,5.1444,6.9985,11.4137,0.6744,0.6234,0.4264,0.2662,3.00e-04
17,24.65094,7.0401,8.953,13.6072,0.4757,0.4402,0.2831,0.1945,14.94226,4.8965,6.5481,10.3615,0.7149,0.6104,0.4156,0.2814,3.00e-04
18,25.13712,7.1621,9.0156,13.7138,0.4683,0.437,0.2708,0.174,28.28994,7.9607,9.2314,14.4228,0.4334,0.2879,0.1623,0.1017,3.00e-04
19,24.02362,6.9164,8.7908,13.2929,0.4945,0.4411,0.2621,0.1795,15.2394,4.9478,6.7673,10.8527,0.6955,0.645,0.4069,0.2922,3.00e-04
20,25.80891,7.3134,9.202,13.8664,0.4461,0.4082,0.2466,0.1639,24.80698,7.1705,8.5291,13.6024,0.5163,0.3485,0.2273,0.1429,3.00e-04
