epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2
1,15.61424,16.1111,23.3414,32.8968,-2.538,0.2761,0.1676,0.1134,7.03369,7.5222,9.7955,18.1489,0.3663,0.4356,0.2562,0.1654
2,8.84165,9.3314,11.9347,21.4242,0.075,0.3363,0.2079,0.142,8.70071,9.1889,11.8365,22.3013,0.0747,0.3486,0.2034,0.1328
3,8.62729,9.115,11.5809,20.5659,0.1291,0.3351,0.206,0.1391,8.47883,8.9675,11.6735,22.1418,0.1,0.3618,0.2158,0.1436
4,8.308,8.7953,11.2084,19.8913,0.1842,0.356,0.2178,0.1418,6.31884,6.8023,8.8297,15.701,0.4851,0.472,0.295,0.1879
5,8.2879,8.7739,11.1607,19.6018,0.1911,0.3489,0.2145,0.1399,6.91544,7.4042,9.2989,16.0985,0.4289,0.4115,0.257,0.1747
6,8.06379,8.5526,10.8754,19.0519,0.2319,0.3665,0.2229,0.1513,5.99192,6.4725,8.5512,15.2504,0.5171,0.5116,0.3214,0.2197
7,8.05188,8.5408,10.8714,19.0256,0.2325,0.3735,0.2265,0.1519,5.7756,6.2553,8.4766,15.2766,0.5255,0.5326,0.3595,0.2391
8,7.8722,8.3597,10.5994,18.421,0.2704,0.3698,0.2302,0.152,5.80715,6.289,8.1921,14.4973,0.5568,0.5148,0.3121,0.2143
9,7.92959,8.4178,10.697,18.4409,0.2569,0.374,0.228,0.1529,6.57667,7.0612,8.7028,15.3511,0.4998,0.4084,0.2407,0.1561
10,7.75534,8.2417,10.5422,18.1673,0.2783,0.3804,0.2386,0.1647,6.09924,6.5799,8.5218,14.8041,0.5204,0.4728,0.2974,0.2104
11,7.75876,8.2418,10.4734,18.0985,0.2877,0.3788,0.2282,0.1507,6.08042,6.5635,8.4354,14.3497,0.5301,0.4852,0.2904,0.1988
12,7.68691,8.1756,10.4402,17.8894,0.2922,0.3792,0.2366,0.1601,7.60359,8.0905,9.6266,16.1211,0.388,0.3082,0.1762,0.1141
13,7.59135,8.0784,10.2312,17.6266,0.3202,0.3808,0.23,0.1524,5.61642,6.0955,8.2743,14.9357,0.5478,0.5458,0.3634,0.25
14,7.45831,7.9462,10.137,17.3087,0.3327,0.3995,0.2465,0.1615,5.79122,6.2686,8.4564,15.3401,0.5277,0.5303,0.3533,0.2484
15,7.55771,8.0456,10.2428,17.5048,0.3187,0.3842,0.2379,0.1544,5.59292,6.0747,8.0966,14.3611,0.567,0.5287,0.3486,0.2469
16,7.46461,7.9505,10.1011,17.2355,0.3374,0.3912,0.2369,0.1639,5.79908,6.282,8.0095,13.6674,0.5763,0.4922,0.2904,0.1894
17,7.47587,7.9642,10.1372,17.2419,0.3327,0.3916,0.2414,0.1597,5.44808,5.9254,8.082,14.6007,0.5686,0.5528,0.368,0.2679
18,7.26479,7.7502,9.8822,16.7954,0.3658,0.3953,0.2491,0.1708,5.46602,5.9487,7.7702,13.4313,0.6013,0.5272,0.337,0.229
19,7.31413,7.8018,9.9419,16.8323,0.3581,0.3945,0.2416,0.168,5.49532,5.9787,7.7376,13.5342,0.6046,0.5295,0.3222,0.2089
20,7.27545,7.7619,9.8511,16.7373,0.3698,0.3958,0.2487,0.1696,5.43235,5.9118,7.7635,13.4544,0.6019,0.5388,0.3424,0.2236
21,7.22378,7.7104,9.8625,16.5532,0.3683,0.4044,0.2519,0.1716,5.52609,6.0057,8.047,14.264,0.5723,0.538,0.3595,0.2484
22,7.18285,7.6656,9.7516,16.4214,0.3825,0.4031,0.248,0.1678,5.4408,5.9207,7.7633,13.2141,0.602,0.5179,0.3439,0.2415
23,7.21182,7.6989,9.7898,16.46,0.3776,0.4027,0.2472,0.1641,5.50473,5.9862,7.8084,13.1234,0.5973,0.5256,0.3439,0.222
24,7.04736,7.532,9.6934,16.1981,0.3898,0.4221,0.2586,0.1743,5.47866,5.9638,7.7338,13.2269,0.605,0.5241,0.3245,0.2236
25,7.1493,7.6321,9.7218,16.2091,0.3863,0.4084,0.2529,0.1702,5.52813,6.0094,7.8793,13.2028,0.59,0.5202,0.3377,0.2321
26,7.02517,7.5127,9.5508,15.916,0.4076,0.4052,0.2523,0.1713,5.60901,6.0903,7.7754,12.9953,0.6007,0.5008,0.3113,0.2096
27,6.76529,7.2508,9.2835,15.4567,0.4403,0.4255,0.269,0.1803,5.91595,6.4008,8.0746,13.3215,0.5694,0.4651,0.2873,0.191
28,6.76856,7.2544,9.2574,15.3574,0.4435,0.4244,0.2665,0.1786,8.89921,9.392,11.0635,17.192,0.1916,0.2547,0.1452,0.0963
29,6.80652,7.2928,9.2537,15.3945,0.4439,0.4177,0.2558,0.1689,5.26973,5.7473,7.5251,12.5686,0.626,0.5396,0.3432,0.2384
30,6.75488,7.2398,9.2993,15.3312,0.4384,0.4292,0.2658,0.1835,5.18864,5.6665,7.476,12.5307,0.6309,0.5536,0.3641,0.2531
31,6.56068,7.044,9.0353,14.9091,0.4699,0.4342,0.2763,0.1859,6.43309,6.9182,8.8138,15.7292,0.4869,0.4425,0.2663,0.1739
32,6.70982,7.1937,9.1485,15.1185,0.4565,0.4288,0.2605,0.1744,5.18487,5.6586,7.5036,12.5067,0.6281,0.545,0.361,0.2632
33,6.59455,7.0806,9.1244,14.9436,0.4594,0.4389,0.2842,0.1895,5.30219,5.7778,7.7226,13.5978,0.6061,0.5458,0.3649,0.2508
34,6.56193,7.047,9.0837,14.8254,0.4642,0.4421,0.2808,0.1926,5.45323,5.9292,7.8989,13.6886,0.5879,0.5373,0.3478,0.2399
35,6.66217,7.1446,9.0961,14.9483,0.4627,0.4261,0.261,0.1763,5.61527,6.1015,7.8136,12.7631,0.5968,0.5016,0.316,0.2089
36,6.43112,6.9154,8.8456,14.5692,0.4919,0.4453,0.2767,0.183,5.96553,6.4491,8.437,15.1757,0.5299,0.4938,0.3137,0.2057
37,6.57536,7.0596,9.021,14.7479,0.4715,0.4343,0.2759,0.1815,5.87217,6.3539,8.1658,12.6992,0.5596,0.4922,0.3012,0.2127
38,6.39554,6.8812,8.8012,14.4263,0.497,0.4425,0.2776,0.1902,5.49442,5.9741,7.7805,12.4582,0.6002,0.5171,0.3354,0.2267
39,6.36676,6.8524,8.7964,14.3285,0.4975,0.4495,0.2812,0.1869,5.30857,5.7891,7.6289,13.1323,0.6156,0.5466,0.347,0.2384
40,6.42553,6.9104,8.863,14.3635,0.4899,0.4497,0.2811,0.1879,5.26995,5.7543,7.4865,12.7468,0.6298,0.5474,0.3408,0.2321
41,6.19727,6.6817,8.6111,13.9942,0.5185,0.4614,0.2889,0.1968,5.6704,6.1516,7.98,12.4913,0.5794,0.5132,0.316,0.212
42,6.28982,6.7753,8.7054,14.0204,0.5079,0.4547,0.284,0.1925,5.23038,5.713,7.4529,12.4933,0.6332,0.5443,0.3408,0.2352
43,6.15448,6.6376,8.5707,13.8462,0.523,0.4654,0.2965,0.2052,5.48332,5.9646,7.7385,12.3548,0.6045,0.5124,0.3331,0.2244
44,6.27456,6.7598,8.6515,14.0501,0.514,0.4546,0.2786,0.1875,5.21867,5.6998,7.4891,12.5531,0.6296,0.552,0.3602,0.2205
45,6.21804,6.7006,8.594,13.9465,0.5204,0.4613,0.2882,0.1922,5.20914,5.6906,7.4961,12.8776,0.6289,0.5512,0.3564,0.2523
46,6.21391,6.6936,8.6312,13.889,0.5162,0.4647,0.291,0.1971,5.18643,5.6678,7.4576,12.5929,0.6327,0.545,0.3556,0.2492
47,6.17461,6.658,8.5956,13.8431,0.5202,0.4658,0.2895,0.1953,6.19688,6.6808,8.4094,13.2024,0.5329,0.4457,0.2764,0.1894
48,6.0963,6.5791,8.4904,13.6491,0.5319,0.4753,0.3007,0.2016,5.26138,5.7401,7.5072,12.1856,0.6278,0.5481,0.3439,0.2446
49,6.17527,6.6563,8.5607,13.8156,0.5241,0.4626,0.2882,0.196,5.76102,6.2436,8.0098,12.5939,0.5763,0.4938,0.3137,0.2081
50,6.12206,6.6073,8.4797,13.6669,0.5331,0.4653,0.2918,0.1972,5.2429,5.7235,7.4725,12.2225,0.6312,0.5528,0.3408,0.2337
