epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2
1,17.5876,18.1013,25.5205,37.184,-3.2294,0.2532,0.1503,0.0949,8.28514,8.7681,10.7842,20.1071,0.2319,0.3168,0.1786,0.1149
2,9.23821,9.7268,12.6486,23.2736,-0.0389,0.3358,0.2066,0.1359,6.87444,7.3593,10.3831,19.2997,0.288,0.4984,0.323,0.2158
3,8.94633,9.4431,12.2637,22.4887,0.0233,0.3497,0.2131,0.143,6.82044,7.3034,9.9501,18.5018,0.3461,0.462,0.3082,0.2065
4,8.7956,9.284,12.0257,21.9988,0.0609,0.3484,0.2113,0.1405,6.70548,7.1887,9.7294,18.0534,0.3748,0.4814,0.309,0.1925
5,8.51601,9.0104,11.6937,21.2388,0.112,0.3635,0.226,0.1484,6.54653,7.028,9.8926,18.3028,0.3537,0.5132,0.3362,0.2384
6,8.60734,9.0961,11.7123,21.2613,0.1092,0.3542,0.2161,0.1454,6.58061,7.0615,9.3879,17.3024,0.4179,0.4759,0.2989,0.191
7,8.4566,8.9453,11.5065,20.7458,0.1402,0.3534,0.2227,0.1495,6.42563,6.9084,9.34,17.206,0.4239,0.4977,0.3183,0.2104
8,8.39026,8.8809,11.3865,20.5049,0.1581,0.3617,0.2218,0.148,6.58264,7.0684,9.2457,16.9478,0.4354,0.4581,0.2849,0.1925
9,8.34768,8.8366,11.3298,20.3613,0.1664,0.3602,0.2243,0.1501,6.40064,6.8787,9.1514,16.7535,0.4469,0.4938,0.3036,0.2042
10,8.28298,8.7707,11.2672,20.1518,0.1756,0.3627,0.2205,0.1524,6.3683,6.8428,8.9865,16.4271,0.4666,0.4658,0.3012,0.2057
11,8.1679,8.6528,11.1448,19.8874,0.1934,0.3669,0.2308,0.1556,6.51278,6.9913,8.9718,16.2556,0.4684,0.4503,0.2849,0.1941
12,8.23152,8.7231,11.2404,19.9754,0.1795,0.3682,0.2319,0.1606,6.50102,6.9792,8.9573,16.1851,0.4701,0.4495,0.2772,0.2003
13,8.09946,8.5941,11.0477,19.7215,0.2074,0.3705,0.2261,0.1501,6.15915,6.6369,8.7873,16.0382,0.49,0.5016,0.3098,0.2073
14,8.08729,8.5714,10.9174,19.4157,0.226,0.366,0.2224,0.1539,6.18732,6.663,8.7258,15.8053,0.4971,0.4899,0.2997,0.2057
15,8.07015,8.5461,10.9621,19.3378,0.2197,0.3704,0.2322,0.1625,6.20187,6.678,8.7348,15.8515,0.4961,0.4852,0.3121,0.2089
16,7.91668,8.4005,10.8176,19.0523,0.2401,0.3867,0.2355,0.1603,6.02704,6.5081,8.8178,16.1633,0.4865,0.5148,0.3385,0.2275
17,7.90417,8.3894,10.7576,18.7544,0.2485,0.3808,0.2363,0.1614,6.06317,6.5427,8.5957,15.5557,0.512,0.5008,0.3067,0.2104
18,7.92246,8.4102,10.7479,18.9508,0.2498,0.374,0.2383,0.158,5.97659,6.4578,8.6537,15.837,0.5054,0.5132,0.3315,0.2182
19,7.78976,8.2726,10.6399,18.6658,0.2649,0.3867,0.2442,0.1665,6.26854,6.7518,8.6525,15.4269,0.5056,0.4457,0.2849,0.1972
20,7.78966,8.2806,10.5845,18.5204,0.2725,0.3765,0.2336,0.1574,5.94135,6.4158,8.5075,15.4312,0.522,0.5047,0.3269,0.2314
21,7.84158,8.3166,10.618,18.6056,0.2679,0.3725,0.2272,0.1511,6.12156,6.6004,8.5017,15.1406,0.5226,0.4643,0.3106,0.2089
22,7.79567,8.2833,10.5963,18.4189,0.2709,0.3794,0.2346,0.1641,6.06411,6.5437,8.4007,14.8268,0.5339,0.4767,0.2974,0.2081
23,7.71573,8.2079,10.4628,18.2735,0.2891,0.3765,0.2311,0.1527,5.98572,6.4645,8.3648,14.8658,0.5379,0.4829,0.3183,0.2174
24,7.70754,8.1943,10.4686,18.272,0.2883,0.3857,0.232,0.1548,6.3103,6.7911,8.5666,15.0016,0.5153,0.441,0.2803,0.2019
25,7.74487,8.2293,10.465,18.1847,0.2888,0.3763,0.2361,0.1543,5.92642,6.4062,8.2899,14.6657,0.5461,0.4876,0.3152,0.2158
26,7.68009,8.1757,10.4181,18.0521,0.2952,0.3802,0.2331,0.1572,5.79569,6.2751,8.1549,14.4179,0.5608,0.5,0.323,0.2267
27,7.57948,8.057,10.2664,17.6926,0.3156,0.3887,0.2395,0.1594,5.59362,6.077,8.0784,14.3677,0.569,0.5264,0.3525,0.2531
28,7.53269,8.02,10.2265,17.5253,0.3209,0.384,0.2422,0.1642,5.68851,6.1707,8.0637,14.1521,0.5706,0.5124,0.3401,0.2306
29,7.62571,8.1087,10.2623,17.6978,0.3161,0.3777,0.2295,0.1572,5.59973,6.0829,8.0471,14.3634,0.5723,0.5326,0.3447,0.2376
30,7.58171,8.0597,10.2905,17.6152,0.3124,0.3862,0.2378,0.1584,5.88723,6.3709,8.1483,14.0798,0.5615,0.4845,0.3168,0.205
31,7.58927,8.0768,10.3023,17.5748,0.3108,0.3838,0.2331,0.1551,5.87268,6.3574,8.0979,14.1318,0.5669,0.472,0.3036,0.2182
32,7.50026,7.9838,10.1959,17.3469,0.3249,0.3894,0.2444,0.1605,6.08762,6.5689,8.3223,14.1204,0.5426,0.4557,0.295,0.1988
33,7.44422,7.9379,10.1252,17.1152,0.3343,0.3901,0.2437,0.1579,5.79043,6.2757,8.0274,13.6401,0.5744,0.5031,0.3059,0.2081
34,7.33892,7.8203,9.9653,16.8221,0.3551,0.3932,0.2405,0.1621,5.45164,5.936,7.7938,13.4232,0.5988,0.5233,0.3548,0.2314
35,7.26212,7.7473,9.9361,16.7498,0.3589,0.4009,0.2432,0.1664,5.49072,5.9695,7.8036,13.404,0.5978,0.5194,0.3346,0.2453
36,7.12875,7.6142,9.7938,16.3642,0.3771,0.4135,0.2622,0.1756,6.33835,6.8246,8.5226,13.8973,0.5203,0.4418,0.2531,0.1669
37,7.25222,7.735,9.9551,16.5679,0.3564,0.4016,0.2476,0.1713,5.30113,5.7877,7.6359,13.0362,0.6149,0.5349,0.3579,0.2585
38,7.16832,7.6553,9.7974,16.3848,0.3767,0.4063,0.2529,0.165,5.61491,6.0992,7.857,13.1437,0.5923,0.5124,0.3222,0.2197
39,7.15644,7.6288,9.8137,16.2896,0.3746,0.4126,0.2535,0.1709,5.55272,6.0354,7.804,13.3395,0.5978,0.5078,0.33,0.2298
40,7.20599,7.6906,9.9074,16.4796,0.3626,0.4086,0.2513,0.168,5.45049,5.9341,7.7192,13.0904,0.6065,0.5233,0.3385,0.2345
41,7.15319,7.6316,9.8125,16.3736,0.3747,0.408,0.2538,0.174,5.19189,5.6747,7.5677,13.0147,0.6218,0.5505,0.3773,0.2686
42,6.99436,7.4885,9.6421,16.0459,0.3963,0.4193,0.2621,0.1764,5.18091,5.6614,7.5939,13.2806,0.6191,0.5543,0.3781,0.2663
43,7.14634,7.6369,9.7699,16.2075,0.3802,0.4056,0.2529,0.17,5.21872,5.7053,7.5758,12.9243,0.621,0.552,0.3758,0.2578
44,7.13926,7.632,9.7847,16.178,0.3783,0.4105,0.2492,0.1664,5.23977,5.7275,7.5562,12.9122,0.6229,0.545,0.3719,0.25
45,7.08591,7.5664,9.7527,16.1676,0.3823,0.4125,0.2575,0.1718,5.33212,5.8206,7.5796,12.9537,0.6206,0.528,0.3502,0.2484
46,7.10283,7.5884,9.7233,16.1821,0.3861,0.4078,0.2528,0.1713,5.4027,5.8856,7.6358,12.8561,0.6149,0.5256,0.3408,0.2345
47,6.95869,7.4467,9.5646,15.782,0.4059,0.4118,0.268,0.1835,5.18138,5.6696,7.4828,12.6356,0.6302,0.5481,0.3602,0.2461
48,7.05014,7.5433,9.6586,15.9836,0.3942,0.4146,0.2567,0.1748,5.12814,5.6169,7.4573,12.6766,0.6327,0.5497,0.3913,0.2733
49,6.88717,7.3701,9.4277,15.5012,0.4228,0.4185,0.2586,0.1743,5.21099,5.6914,7.4868,12.3828,0.6298,0.5435,0.3703,0.2453
50,6.91876,7.3905,9.4821,15.6817,0.4161,0.4194,0.2602,0.1765,5.16485,5.6462,7.3984,12.5474,0.6385,0.5489,0.3587,0.243
