epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2,lr
1,65.0242,15.2808,21.5487,30.5089,-2.0375,0.2644,0.1553,0.1119,27.84691,7.6798,9.7941,15.761,0.3622,0.4113,0.2684,0.1645,3.00e-04
2,32.18284,8.6313,10.8585,17.9136,0.2287,0.3543,0.2205,0.1457,21.24114,6.3441,8.0924,13.3045,0.5646,0.4827,0.2835,0.1905,3.00e-04
3,30.08073,8.1851,10.3235,16.4729,0.3028,0.3804,0.2274,0.1589,18.04966,5.5807,7.2254,11.6635,0.6529,0.5649,0.3658,0.2446,3.00e-04
4,27.75113,7.7145,9.7517,15.6548,0.3779,0.39,0.2402,0.1616,22.10868,6.5281,8.0437,12.872,0.5698,0.4351,0.2641,0.1905,3.00e-04
5,25.0828,7.1361,9.0044,14.0927,0.4696,0.4151,0.2648,0.1868,18.47002,5.6921,7.4231,11.7548,0.6336,0.5628,0.3398,0.2251,3.00e-04
6,25.01466,7.1416,8.9666,14.1429,0.4741,0.437,0.2598,0.1758,18.43609,5.6511,7.5325,12.0302,0.6228,0.5671,0.3593,0.2641,3.00e-04
7,23.57477,6.8374,8.5756,13.2087,0.5189,0.4434,0.2639,0.1817,16.71226,5.2772,7.0235,11.1782,0.672,0.5866,0.3961,0.2771,3.00e-04
8,21.67125,6.4308,8.1206,12.2647,0.5686,0.4703,0.2986,0.19,16.00501,5.1552,6.7779,10.908,0.6946,0.6017,0.3745,0.2641,3.00e-04
9,23.06849,6.7284,8.5125,13.183,0.526,0.4493,0.2758,0.1904,15.48294,4.9958,6.7192,10.6652,0.6998,0.619,0.4459,0.2879,3.00e-04
10,23.08823,6.7171,8.5473,12.8372,0.5221,0.4584,0.2895,0.1913,17.49099,5.4991,7.0359,11.4077,0.6709,0.5563,0.3506,0.2359,3.00e-04
11,22.87631,6.6994,8.4139,12.8165,0.5369,0.453,0.2767,0.1799,23.71829,6.9564,8.3766,12.916,0.5335,0.381,0.2143,0.1494,3.00e-04
12,20.70864,6.2242,7.8948,11.7648,0.5923,0.4854,0.3055,0.2027,16.49197,5.2331,7.0186,11.2727,0.6725,0.6104,0.4069,0.2554,3.00e-04
13,20.89227,6.2384,7.904,11.826,0.5913,0.4886,0.3155,0.2169,25.355,7.2682,8.9439,13.518,0.4682,0.3874,0.2165,0.1537,3.00e-04
14,20.82571,6.2293,7.973,11.7165,0.5842,0.4986,0.3205,0.2105,25.69689,7.399,8.7479,13.9344,0.4912,0.3506,0.1948,0.1147,3.00e-04
15,20.07457,6.0613,7.7564,11.4257,0.6065,0.4995,0.3237,0.2215,17.30481,5.4138,7.1639,10.9269,0.6588,0.5931,0.3701,0.2662,3.00e-04
16,19.70549,5.9776,7.6209,11.0836,0.6201,0.505,0.326,0.221,20.52862,6.2153,7.7219,11.8461,0.6036,0.474,0.2944,0.1861,1.50e-04
17,19.28874,5.8972,7.4811,11.0296,0.6339,0.5,0.3256,0.2269,15.3335,4.9972,6.602,10.6734,0.7102,0.6039,0.4048,0.2727,1.50e-04
18,17.16378,5.4632,6.9654,10.0735,0.6826,0.5621,0.3438,0.2288,15.64258,5.1069,6.6295,10.4237,0.7078,0.5952,0.3896,0.2532,1.50e-04
19,17.05293,5.4143,6.8712,9.9499,0.6912,0.547,0.3553,0.2479,14.74047,4.8455,6.4626,10.2073,0.7223,0.6299,0.4242,0.2792,1.50e-04
20,16.93689,5.4029,6.8358,9.9751,0.6943,0.5534,0.3429,0.2329,15.6516,5.071,6.7026,10.2545,0.7013,0.6082,0.4026,0.2814,1.50e-04
21,17.16128,5.4456,6.9005,9.9607,0.6885,0.5443,0.353,0.2347,15.21145,4.9592,6.5846,10.1334,0.7117,0.6039,0.4048,0.2749,1.50e-04
22,16.5929,5.3153,6.7727,9.7932,0.6999,0.5548,0.3676,0.2425,17.03728,5.4297,6.9111,10.7182,0.6824,0.5671,0.3398,0.2316,1.50e-04
23,16.88446,5.3779,6.8755,9.8607,0.6908,0.558,0.3571,0.2416,14.69503,4.8455,6.4719,10.1879,0.7215,0.632,0.4221,0.2792,1.50e-04
24,16.51656,5.2953,6.7971,9.7039,0.6978,0.5607,0.3644,0.2484,16.8648,5.3849,6.8723,10.8651,0.686,0.5693,0.3485,0.2381,1.50e-04
25,16.56132,5.3109,6.7541,9.6932,0.7016,0.5511,0.3557,0.2479,16.23072,5.2102,6.8313,10.9171,0.6897,0.5909,0.3723,0.2771,1.50e-04
26,15.53702,5.0585,6.5155,9.219,0.7223,0.5836,0.3982,0.2694,15.5217,4.9967,6.6554,10.2057,0.7055,0.6169,0.4026,0.3009,1.50e-04
27,16.39068,5.2805,6.7206,9.7256,0.7045,0.5521,0.3507,0.237,15.65994,5.0677,6.6634,10.8427,0.7048,0.5952,0.3961,0.2814,1.50e-04
28,16.47873,5.2942,6.7256,9.7173,0.7041,0.5571,0.3598,0.2466,15.04162,4.9493,6.5117,10.3512,0.7181,0.6277,0.3961,0.2619,1.50e-04
29,15.72531,5.1204,6.5534,9.3535,0.7191,0.5799,0.3776,0.2584,15.60277,5.0725,6.6123,10.5683,0.7093,0.5801,0.381,0.2641,1.50e-04
30,15.40684,5.0524,6.4724,9.2344,0.726,0.5836,0.3826,0.2653,16.40017,5.2567,6.8363,10.4703,0.6893,0.5779,0.3528,0.2532,7.50e-05
31,15.51721,5.0726,6.4729,9.2647,0.7259,0.5763,0.3781,0.2571,14.59817,4.8134,6.464,10.3387,0.7222,0.6385,0.4329,0.2965,7.50e-05
32,15.73476,5.106,6.5602,9.2184,0.7185,0.5849,0.3854,0.2635,18.32774,5.73,7.1673,11.1953,0.6585,0.5043,0.303,0.2121,7.50e-05
33,14.3542,4.8312,6.1084,8.8173,0.7559,0.6005,0.3826,0.2621,16.65917,5.3706,6.7954,10.7182,0.693,0.5606,0.3506,0.2208,7.50e-05
34,14.85617,4.9355,6.3254,8.978,0.7383,0.5968,0.3881,0.2667,14.38637,4.7547,6.41,10.3233,0.7268,0.6494,0.4264,0.3139,7.50e-05
35,15.08749,4.989,6.3531,9.0235,0.736,0.5959,0.3712,0.2557,16.72203,5.3495,6.8335,10.7781,0.6895,0.5584,0.3593,0.2316,7.50e-05
36,14.91167,4.9627,6.2543,9.0281,0.7441,0.5813,0.3767,0.2543,15.7994,5.1272,6.6895,10.5302,0.7025,0.6017,0.3723,0.2662,7.50e-05
37,14.23284,4.7768,6.1181,8.6366,0.7551,0.6078,0.4046,0.2763,15.52895,5.0545,6.6296,10.541,0.7078,0.5931,0.3831,0.2727,7.50e-05
38,14.4632,4.8245,6.2124,8.7424,0.7475,0.5977,0.4037,0.2763,14.9925,4.942,6.5034,10.4029,0.7188,0.6299,0.4134,0.2662,7.50e-05
39,14.60157,4.8626,6.2438,8.8115,0.745,0.6037,0.3936,0.2708,14.52429,4.7587,6.4763,10.2558,0.7211,0.6385,0.4329,0.329,7.50e-05
40,14.3821,4.8123,6.1585,8.6926,0.7519,0.5945,0.4005,0.2749,16.47183,5.3224,6.7941,10.8252,0.6931,0.5671,0.3571,0.2186,7.50e-05
41,14.39474,4.8272,6.1602,8.7581,0.7518,0.6041,0.3963,0.2708,15.33991,4.9899,6.5608,10.4888,0.7138,0.5974,0.3896,0.2857,3.75e-05
42,14.47573,4.8293,6.1795,8.7303,0.7502,0.6,0.4059,0.2763,14.62206,4.8286,6.4304,10.2873,0.7251,0.6212,0.4264,0.2879,3.75e-05
43,14.16122,4.7548,6.1148,8.5971,0.7554,0.6078,0.4014,0.2881,14.36233,4.7542,6.3807,10.031,0.7293,0.6299,0.4286,0.3009,3.75e-05
44,13.87345,4.7328,5.9756,8.5836,0.7664,0.6073,0.3785,0.2626,14.19465,4.7251,6.3574,9.9634,0.7313,0.6407,0.4394,0.2965,3.75e-05
45,13.59799,4.6485,5.9261,8.4456,0.7703,0.6237,0.405,0.2804,15.15716,4.9732,6.5045,10.4439,0.7187,0.6147,0.3853,0.2706,3.75e-05
46,14.11719,4.7664,6.0998,8.5954,0.7566,0.6064,0.3826,0.274,14.36356,4.7512,6.3828,9.8996,0.7291,0.6429,0.4307,0.2965,3.75e-05
47,13.6385,4.6583,5.9364,8.3972,0.7695,0.6178,0.4005,0.279,15.17264,4.9781,6.5333,10.1639,0.7162,0.6147,0.3896,0.2749,3.75e-05
48,13.0597,4.5237,5.763,8.166,0.7827,0.6256,0.4123,0.2877,17.45111,5.5325,6.9607,10.9756,0.6779,0.526,0.3117,0.2316,3.75e-05
49,14.09227,4.7587,6.076,8.5698,0.7585,0.6068,0.3973,0.2776,14.06549,4.6938,6.3281,9.991,0.7338,0.6558,0.4372,0.2922,3.75e-05
50,13.31701,4.5934,5.8291,8.2767,0.7777,0.6155,0.4087,0.2836,15.37841,5.0321,6.5642,10.2788,0.7135,0.5931,0.3896,0.2684,3.75e-05
51,13.89318,4.7162,6.0463,8.4881,0.7609,0.621,0.405,0.2735,14.0017,4.6859,6.3131,9.9125,0.735,0.658,0.4394,0.3009,3.75e-05
52,13.67542,4.6684,5.9554,8.4273,0.768,0.6183,0.4105,0.2845,15.14249,4.9742,6.5037,10.4064,0.7188,0.6082,0.4004,0.2641,3.75e-05
53,14.09542,4.7451,6.0808,8.5439,0.7581,0.6087,0.4068,0.2913,15.59193,5.0843,6.5822,10.5187,0.712,0.5823,0.3658,0.2532,3.75e-05
54,14.34744,4.7979,6.1749,8.6328,0.7506,0.6014,0.4132,0.2854,15.16704,4.9639,6.5264,10.3763,0.7168,0.6147,0.4199,0.2771,3.75e-05
55,13.15981,4.5073,5.8105,8.1311,0.7791,0.6183,0.4338,0.3096,15.07266,4.916,6.5136,10.0632,0.7179,0.6061,0.4351,0.2835,3.75e-05
56,13.61922,4.6501,5.9195,8.4348,0.7708,0.6073,0.4082,0.2813,17.16846,5.4744,6.9061,10.8692,0.6829,0.5346,0.3485,0.21,3.75e-05
57,13.62336,4.6366,5.9833,8.3597,0.7658,0.6283,0.4215,0.2932,15.14065,4.9524,6.5373,10.2348,0.7159,0.6234,0.4004,0.29,3.75e-05
58,13.56929,4.6446,5.8968,8.3334,0.7725,0.6105,0.4114,0.2813,14.63992,4.8357,6.4257,10.2247,0.7255,0.6407,0.4134,0.2944,1.87e-05
59,13.70341,4.6832,5.9085,8.451,0.7716,0.6073,0.4027,0.2785,14.99254,4.911,6.4752,10.0033,0.7212,0.6234,0.4048,0.2727,1.87e-05
60,12.94564,4.5011,5.7621,8.1346,0.7828,0.6352,0.4123,0.295,15.34975,4.9989,6.5404,10.1886,0.7156,0.6082,0.3831,0.2727,1.87e-05
