epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2
1,19.44928,19.9429,26.5073,39.869,-3.5628,0.2133,0.1273,0.0794,8.35142,8.8358,12.3641,23.2056,-0.0096,0.3983,0.2803,0.1825
2,10.40784,10.8966,14.4927,26.9994,-0.364,0.3192,0.1965,0.1335,8.23318,8.7137,12.4365,23.236,-0.0215,0.42,0.3121,0.1918
3,10.20774,10.6953,14.3657,26.7137,-0.3402,0.3349,0.2087,0.1417,8.18298,8.6639,12.4835,23.2765,-0.0292,0.4286,0.3082,0.205
4,10.32653,10.8146,14.3967,26.8663,-0.3459,0.3168,0.2008,0.1327,8.31183,8.7965,12.2927,23.0824,0.002,0.4045,0.2842,0.1786
5,10.19214,10.6796,14.2726,26.556,-0.3228,0.3296,0.2055,0.1391,8.34314,8.829,12.2671,23.0648,0.0062,0.4006,0.2741,0.1786
6,10.27932,10.7692,14.3317,26.745,-0.3338,0.328,0.1997,0.1291,8.22026,8.7039,12.2592,22.9799,0.0074,0.4138,0.2857,0.1832
7,10.26245,10.751,14.3332,26.7404,-0.3341,0.3237,0.1977,0.1331,8.25879,8.7428,12.2399,22.9724,0.0106,0.4115,0.2842,0.1902
8,10.22428,10.7143,14.2915,26.6475,-0.3263,0.3291,0.2044,0.1353,8.41244,8.8994,12.0653,22.7832,0.0386,0.3804,0.243,0.1553
9,10.20998,10.6985,14.2817,26.5839,-0.3245,0.3233,0.1937,0.1275,8.48339,8.9714,12.0873,22.8609,0.0351,0.3734,0.2337,0.1522
10,10.20519,10.6942,14.2514,26.5273,-0.3189,0.3233,0.1987,0.1343,8.09528,8.5802,12.1381,22.7193,0.0269,0.4239,0.2873,0.1918
11,10.13657,10.6257,14.0922,26.2088,-0.2896,0.3288,0.1991,0.1355,8.27449,8.7585,12.0133,22.6177,0.0469,0.4053,0.2492,0.1654
12,10.12971,10.6173,14.1561,26.3046,-0.3013,0.3268,0.2029,0.1371,7.9461,8.4277,12.2964,22.861,0.0014,0.4689,0.3075,0.2166
13,10.27266,10.7611,14.2882,26.611,-0.3257,0.3269,0.1992,0.1315,8.15328,8.6375,11.8899,22.3382,0.0663,0.4045,0.2655,0.1762
14,10.06503,10.5549,14.0151,26.0819,-0.2755,0.3267,0.2047,0.1326,8.08825,8.5715,11.916,22.3146,0.0622,0.42,0.2725,0.1856
15,10.00414,10.4928,13.9756,25.9017,-0.2683,0.3358,0.2027,0.1342,8.01647,8.4994,11.978,22.3991,0.0525,0.4239,0.2849,0.1964
16,9.95051,10.4395,13.8775,25.6685,-0.2506,0.3335,0.2044,0.1402,7.98484,8.4691,11.8414,22.0308,0.0739,0.4332,0.2842,0.2026
17,10.03251,10.5222,13.9426,25.8662,-0.2624,0.3249,0.2023,0.1369,8.76534,9.2529,11.9018,21.9697,0.0645,0.3307,0.2089,0.1398
18,9.91293,10.402,13.7815,25.5418,-0.2334,0.3328,0.2046,0.1385,8.33117,8.8175,11.624,21.7041,0.1076,0.3564,0.2345,0.1553
19,9.91863,10.4057,13.7749,25.5303,-0.2322,0.3295,0.2068,0.1371,7.98434,8.4696,11.5381,21.4855,0.1208,0.4107,0.264,0.1801
20,9.92979,10.4173,13.7859,25.391,-0.2342,0.3338,0.2056,0.135,8.01915,8.5049,11.5289,21.504,0.1222,0.4006,0.2562,0.1793
21,9.96336,10.4512,13.7925,25.5095,-0.2353,0.3272,0.1979,0.1349,7.78393,8.2653,11.8726,22.0718,0.0691,0.4705,0.3005,0.212
22,9.78179,10.27,13.5659,24.992,-0.1951,0.3361,0.2036,0.139,7.79738,8.2799,11.6065,21.6095,0.1103,0.4425,0.2842,0.2011
23,9.93009,10.4184,13.7549,25.2757,-0.2286,0.326,0.2027,0.1385,7.74263,8.2245,11.6006,21.5373,0.1112,0.4519,0.2911,0.2011
24,9.90117,10.3899,13.6631,25.0637,-0.2123,0.3284,0.2024,0.1374,7.76111,8.2422,11.7458,21.7633,0.0888,0.4612,0.3012,0.205
25,9.86006,10.349,13.643,25.1711,-0.2087,0.3327,0.1997,0.1342,7.85186,8.3334,11.4549,21.1968,0.1334,0.4255,0.2694,0.1902
26,9.84971,10.3384,13.5556,24.9542,-0.1933,0.3229,0.1944,0.1298,7.81331,8.2961,11.4557,21.2084,0.1333,0.4363,0.2725,0.1918
27,9.82377,10.3127,13.5769,24.9207,-0.197,0.3361,0.2027,0.1359,7.76841,8.2505,11.9125,21.9792,0.0628,0.4643,0.3036,0.2197
28,9.87382,10.363,13.6927,25.0515,-0.2175,0.3304,0.1996,0.1351,7.8923,8.3738,11.3485,20.7948,0.1494,0.4262,0.2616,0.1786
29,9.88408,10.3739,13.6934,25.1329,-0.2176,0.3335,0.2074,0.137,7.82411,8.3079,11.2771,20.6992,0.1601,0.4231,0.2655,0.1832
30,9.79275,10.2809,13.4821,24.668,-0.1804,0.3277,0.2007,0.1343,7.74789,8.2307,11.2784,20.6307,0.1599,0.4332,0.2803,0.191
31,9.74206,10.2318,13.5013,24.6748,-0.1837,0.3316,0.2015,0.1312,7.84314,8.3269,11.2534,20.4461,0.1636,0.4169,0.2694,0.1825
32,9.7995,10.2876,13.5638,24.7144,-0.1947,0.3335,0.2091,0.142,7.81132,8.2948,11.2883,20.6226,0.1584,0.4286,0.2609,0.1832
33,9.63673,10.1256,13.383,24.4013,-0.1631,0.3393,0.2047,0.1398,7.6029,8.085,11.4855,21.214,0.1288,0.4573,0.3005,0.2158
34,9.6145,10.1038,13.341,24.2866,-0.1558,0.3377,0.208,0.1381,7.68592,8.1685,11.2916,20.6759,0.1579,0.4371,0.2795,0.1902
35,9.73189,10.2205,13.4708,24.5598,-0.1784,0.3311,0.2068,0.1366,7.58197,8.066,11.4846,21.2265,0.1289,0.4612,0.2958,0.2112
36,9.76986,10.259,13.4674,24.603,-0.1778,0.3355,0.2056,0.1374,7.81057,8.2937,11.2467,20.5119,0.1646,0.4208,0.2616,0.1762
37,9.70487,10.1929,13.436,24.3643,-0.1723,0.3353,0.2102,0.1416,7.71683,8.1991,11.1787,20.4351,0.1747,0.427,0.2741,0.1879
38,9.83102,10.3196,13.5819,24.7209,-0.1979,0.3279,0.2087,0.1389,7.73367,8.2166,11.2256,20.5647,0.1678,0.4348,0.2733,0.1871
39,9.74192,10.2303,13.4855,24.6019,-0.1809,0.3332,0.2051,0.1375,7.75592,8.2387,11.1915,20.5164,0.1728,0.4262,0.2671,0.1793
40,9.73322,10.2218,13.4037,24.4113,-0.1667,0.3287,0.2083,0.1367,7.69415,8.176,11.2587,20.5981,0.1628,0.4379,0.2725,0.184
41,9.72434,10.2118,13.4064,24.3601,-0.1671,0.3359,0.2067,0.1387,7.92527,8.4095,11.338,20.6271,0.151,0.4115,0.2516,0.1646
42,9.7966,10.2854,13.5186,24.5642,-0.1868,0.3279,0.2004,0.1327,7.70456,8.1881,11.1668,20.3178,0.1764,0.4317,0.2679,0.184
43,9.68939,10.1777,13.3988,24.4036,-0.1658,0.3328,0.2025,0.1365,7.69144,8.1728,11.1562,20.2843,0.178,0.4332,0.2717,0.1871
44,9.70633,10.195,13.3774,24.2508,-0.1621,0.3294,0.1969,0.1308,7.77974,8.2625,11.1807,20.3068,0.1744,0.4286,0.2655,0.1809
45,9.72858,10.2176,13.4144,24.2754,-0.1685,0.3319,0.2013,0.1355,7.66033,8.1426,11.1583,20.3962,0.1777,0.434,0.2772,0.191
46,9.67036,10.1594,13.3048,24.0822,-0.1495,0.3277,0.2042,0.1361,7.52042,8.005,11.3095,20.6792,0.1553,0.4635,0.2943,0.2143
47,9.75639,10.2451,13.4618,24.5155,-0.1768,0.3296,0.2029,0.1389,7.57595,8.057,11.2211,20.4907,0.1684,0.448,0.2935,0.1964
48,9.65188,10.1402,13.3693,24.2716,-0.1607,0.3374,0.2079,0.1414,8.02378,8.5095,11.2616,20.1503,0.1624,0.389,0.2391,0.1661
49,9.54827,10.0369,13.212,23.9338,-0.1335,0.3414,0.1981,0.1347,7.9049,8.3894,11.2113,20.0056,0.1699,0.4107,0.2531,0.1762
50,9.67245,10.16,13.3852,24.2199,-0.1634,0.3361,0.2029,0.1354,7.53353,8.0165,11.3135,20.7522,0.1547,0.4589,0.2997,0.2112
